not bit-tricked;
size; time;
   1; 0,000997;
   2; 0,000820;
   3; 0,001551;
   4; 0,002136;
   5; 0,001207;
   6; 0,009938;
   7; 0,002737;
   8; 0,047276;
   9; 0,018801;
  10; 0,292559;
  11; 0,028795;
  12; 0,187186;
  13; 0,080530;
  14; 1,631925;
  15; 3,506815;
  16; 37,384868;

bit-tricked;
size; time;
   1; 0,001976;
   2; 0,001121;
   3; 0,001640;
   4; 0,001773;
   5; 0,001174;
   6; 0,008780;
   7; 0,002105;
   8; 0,039238;
   9; 0,014531;
  10; 0,040181;
  11; 0,021002;
  12; 0,123895;
  13; 0,054392;
  14; 1,342477;
  15; 1,190075;
  16; 6,980102;

